 ,number,MoraActual,Colocado actual,Sucursal,FechaPrimerCompra,FechaUltimaCompra,Recencia,ComprasUltimoMes,ComprasPromedio6meses,ColocadoPromedio6meses,RentabilidadPromedioVale,RentabilidadPromedioMes,UsoLinea,LimiteCredito,LimiteContractual,Estatus,Nivel,R,F,M,Código RFM,Accion requerida
10489,9775,0,154783.69,Cd Cuauhtemoc,2023-10-06,2025-09-03,1,8,11,"$179,272",$93,"$1,035",0.6087,"$230,000","$400,000",Autorizado,Platino,5,2,2,522,🎟️​ Crecer frecuencia
10490,9776,0,106536,Navojoa,2023-10-09,2025-09-02,2,4,6,"$104,415",$397,"$2,304",0.4439434783,"$230,000","$400,000",Autorizado,Oro,4,1,3,413,🎟️​ Crecer frecuencia
10492,9778,0,44137,Matamoros,2023-10-06,2025-08-31,4,4,3,"$34,441",$267,$847,0.8528089888,"$44,500","$100,000",Autorizado,Bronce,4,2,3,423,🎟️​ Crecer frecuencia
10494,9780,0,22305.28,Gomez Palacio,2023-10-07,2025-08-18,17,2,2,"$16,887",$721,"$1,443",0.5632753623,"$34,500","$100,000",Autorizado,Inicial,3,1,3,313,🥶Enfriándose
10497,9783,0,84775.82,Culiacan,2023-10-16,2025-09-03,1,6,5,"$67,824",$447,"$2,237",71.16%,"$116,000","$250,000",Autorizado,Plata,5,2,3,523,🎟️​ Crecer frecuencia
9133,8419,138,41653.05,Navolato,2023-05-13,2025-03-04,184,0,1,"$43,639","$1,273","$1,273",0.7244008696,"$57,500","$100,000",Bloqueado (Automatico),Bronce,1,1,3,113,🧊 Hibernando
10499,9785,0,194308,Matamoros,2023-10-09,2025-09-03,1,18,10,"$147,055",$95,$980,0.8878205128,"$195,000","$300,000",Autorizado,Oro,5,3,5,535,🔥 Mantener Racha
10501,9787,0,119712,Eldorado,2023-10-10,2025-08-29,6,6,6,"$93,202",$274,"$1,509",76.52%,"$140,000","$400,000",Autorizado,Plata,4,2,4,424,🔥 Mantener Racha
10503,9789,0,37580,Patzcuaro,2023-10-12,2025-09-01,3,4,4,"$41,297",$539,"$2,154",0.6653435115,"$65,500","$100,000",Autorizado,Bronce,4,2,2,422,🎟️​ Crecer frecuencia
10504,9790,0,90518,Patzcuaro,2023-10-10,2025-09-01,3,9,6,"$74,526",$515,"$3,003",99.50%,"$97,000","$100,000",Autorizado,Plata,4,2,3,423,🏆 Candidata a Incremento
