 ,number,MoraActual,Colocado actual,Sucursal,FechaPrimerCompra,FechaUltimaCompra,Recencia,ComprasUltimoMes,ComprasPromedio6meses,ColocadoPromedio6meses,RentabilidadPromedioVale,RentabilidadPromedioMes,UsoLinea,LimiteCredito,LimiteContractual,Estatus,Nivel,R,F,M,Código RFM,Accion requerida
1164,476,0,203992,Culiacan,2018-06-13,2025-09-02,2,14,12,"$194,901",$212,"$2,584",0.7140037736,"$265,000","$300,000",Autorizado,Platino,4,2,3,423,🎟️​ Crecer frecuencia
1165,477,0,10812,Culiacan,2018-06-14,2025-05-23,104,0,2,"$21,779",$166,$386,0.0516137931,"$145,000","$300,000",Autorizado,Bronce,1,1,1,111,🧊 Hibernando
1167,479,0,120855,Culiacan,2018-06-21,2025-09-02,2,9,8,"$151,080",$146,"$1,220",0.445212,"$250,000","$300,000",Autorizado,Platino,4,2,1,421,🎟️​ Crecer frecuencia
1168,480,0,83398,Culiacan,2018-06-16,2025-09-03,1,9,3,"$59,697",$218,$762,60.89%,"$131,467","$300,000",Autorizado,Plata,5,2,3,523,🎟️​ Crecer frecuencia
1169,481,0,299968,Navolato,2018-06-23,2025-09-03,1,15,19,"$283,019",$214,"$4,028",77.47%,"$360,000","$400,000",Autorizado,Titanio,5,2,2,522,💎 Ancla de Negocio
1170,482,0,182736,Culiacan,2018-06-19,2025-09-01,3,5,11,"$213,757",$266,"$2,878",0.5838888889,"$270,000","$300,000",Autorizado,Platino,4,1,2,412,🎟️​ Crecer frecuencia
1172,484,0,97845.65,Guamuchil,2018-07-12,2025-08-25,10,3,5,"$92,146",$377,"$1,761",62.12%,"$149,241","$300,000",Autorizado,Plata,4,1,3,413,🎟️​ Crecer frecuencia
9558,8844,92,12496,Celaya,2023-06-30,2025-04-16,141,0,3,"$16,719",-$279,-$698,0.3245714286,"$38,500","$100,000",Bloqueado (Automatico),Inicial,1,1,2,112,🧊 Hibernando
1174,486,0,38909,Guamuchil,2018-07-03,2025-09-02,2,5,3,"$27,927",$223,$779,0.5476707317,"$82,000","$300,000",Autorizado,Bronce,4,2,2,422,🎟️​ Crecer frecuencia
1175,487,0,1500,Culiacan,2018-07-16,2025-04-01,156,0,1,"$3,156",$226,$226,0.02,"$50,000","$300,000",Autorizado,Inicial,1,1,1,111,🧊 Hibernando
1177,489,0,290241,Guamuchil,2018-08-10,2025-09-03,1,23,16,"$278,194",$277,"$4,381",80.43%,"$330,000","$400,000",Autorizado,Titanio,5,3,2,532,💎 Ancla de Negocio
1178,490,0,82861,Culiacan,2018-07-24,2025-09-02,2,5,4,"$88,104",$332,"$1,382",48.17%,"$155,000","$300,000",Autorizado,Plata,4,2,3,423,🎟️​ Crecer frecuencia
1180,492,0,246208.43,Culiacan,2018-06-26,2025-08-22,13,17,13,"$261,152",$263,"$3,381",71.73%,"$300,000","$300,000",Autorizado,Titanio,4,2,2,422,🎟️​ Crecer frecuencia
1181,493,0,97021,Culiacan,2018-07-03,2025-09-03,1,7,6,"$95,022",$149,$918,74.77%,"$120,000","$300,000",Autorizado,Plata,5,2,3,523,🎟️​ Crecer frecuencia
1182,494,0,235251,Culiacan,2018-06-27,2025-09-03,1,13,15,"$232,999",$159,"$2,336",0.8369584906,"$265,000","$300,000",Autorizado,Platino,5,2,4,524,🔥 Mantener Racha
1183,495,0,288897,Culiacan,2018-06-29,2025-09-03,1,16,15,"$264,108",$250,"$3,706",80.21%,"$330,000","$400,000",Autorizado,Titanio,5,2,2,522,💎 Ancla de Negocio
1184,496,0,209804,Culiacan,2018-06-30,2025-09-02,2,17,10,"$183,913",$266,"$2,794",0.6578533333,"$300,000","$300,000",Autorizado,Platino,4,3,3,433,📈​ Crecer Monto
1188,500,0,332050.66,Los Mochis,2018-06-29,2025-09-03,1,29,25,"$311,687",$73,"$1,862",84.78%,"$345,000","$400,000",Autorizado,Titanio,5,3,2,532,💎 Ancla de Negocio
1189,501,0,327828.65,Culiacan,2018-07-01,2025-09-01,3,21,19,"$304,133",$209,"$4,015",85.30%,"$340,000","$400,000",Autorizado,Titanio,4,3,2,432,💎 Ancla de Negocio
1190,502,0,152363,Culiacan,2018-07-04,2025-09-03,1,10,8,"$145,785",$270,"$2,298",0.6189608696,"$230,000","$300,000",Autorizado,Oro,5,2,4,524,🔥 Mantener Racha
1193,505,0,57354,Culiacan,2018-07-11,2025-08-04,31,1,3,"$62,082",$288,$865,45.34%,"$110,000","$300,000",Autorizado,Plata,2,1,2,212,🚨Impedir Abandono
1195,507,0,211783,Culiacan,2018-07-03,2025-09-03,1,7,12,"$219,948",$235,"$2,857",0.6760733333,"$300,000","$300,000",Autorizado,Platino,5,1,3,513,🎟️​ Crecer frecuencia
1197,509,0,245776,Navolato,2018-07-04,2025-09-03,1,14,17,"$223,105",$167,"$2,790",0.7279233333,"$300,000","$300,000",Autorizado,Platino,5,2,4,524,🔥 Mantener Racha
1198,510,0,285566.65,Culiacan,2018-07-10,2025-09-02,2,22,19,"$281,450",$189,"$3,625",87.25%,"$300,000","$300,000",Autorizado,Titanio,4,3,2,432,💎 Ancla de Negocio
1200,512,0,208448,Navolato,2018-07-05,2025-09-02,2,13,13,"$181,043",$99,"$1,318",0.7192653061,"$245,000","$300,000",Autorizado,Platino,4,2,3,423,🎟️​ Crecer frecuencia
1204,516,0,93340,Navolato,2018-07-31,2025-08-30,5,3,7,"$125,365",$275,"$1,789",0.4242727273,"$220,000","$300,000",Autorizado,Oro,4,1,3,413,🎟️​ Crecer frecuencia
1206,518,0,163165,Eldorado,2018-07-11,2025-09-02,2,13,9,"$195,568",$325,"$3,037",0.51089,"$300,000","$300,000",Autorizado,Platino,4,2,2,422,🎟️​ Crecer frecuencia
1208,520,0,357474,Culiacan,2018-07-13,2025-09-02,2,33,24,"$315,344",$216,"$5,217",98.39%,"$382,000","$400,000",Autorizado,Titanio,4,4,3,443,💎 Ancla de Negocio
1209,521,0,105509.27,Culiacan,2018-07-14,2025-08-27,8,6,7,"$116,259",$209,"$1,460",0.30559,"$300,000","$300,000",Autorizado,Oro,4,1,3,413,🎟️​ Crecer frecuencia
1210,522,0,114285.66,Culiacan,2018-07-15,2025-08-29,6,10,8,"$116,903",$178,"$1,392",0.65298125,"$160,000","$300,000",Autorizado,Oro,4,2,3,423,🎟️​ Crecer frecuencia
1212,524,0,167075,Culiacan,2019-10-08,2025-09-02,2,18,11,"$159,018",$178,"$1,929",0.8707954545,"$220,000","$300,000",Autorizado,Platino,4,3,2,432,📈​ Crecer Monto
1214,526,0,186693,Culiacan,2018-08-09,2025-09-02,2,13,13,"$157,082",$151,"$1,940",0.7604044444,"$225,000","$300,000",Autorizado,Platino,4,2,3,423,🎟️​ Crecer frecuencia
1215,527,0,318503.81,Culiacan,2018-07-16,2025-08-31,4,29,19,"$307,911",$138,"$2,637",86.48%,"$320,000","$320,000",Autorizado,Titanio,4,3,2,432,💎 Ancla de Negocio
1216,528,0,214926,Eldorado,2018-07-19,2025-09-01,3,9,13,"$234,325",$280,"$3,495",0.49303,"$400,000","$400,000",Autorizado,Platino,4,2,3,423,🎟️​ Crecer frecuencia
1217,529,0,168462,Culiacan,2018-07-17,2025-08-29,6,9,10,"$148,709",$270,"$2,612",0.701925,"$240,000","$300,000",Autorizado,Oro,4,2,4,424,🔥 Mantener Racha
1218,530,0,64328,Navolato,2018-07-20,2025-09-01,3,1,3,"$72,895",$337,"$1,010",53.89%,"$115,000","$300,000",Autorizado,Plata,4,1,2,412,🎟️​ Crecer frecuencia
1219,531,0,241389.04,Costa Rica,2018-07-23,2025-08-27,8,19,17,"$242,590",$205,"$3,445",0.6002090909,"$330,000","$400,000",Autorizado,Platino,4,3,4,434,🎟️​ Crecer frecuencia
1220,532,0,326241.7,Culiacan,2018-07-19,2025-09-03,1,26,19,"$322,284",$216,"$4,146",94.50%,"$330,000","$330,000",Autorizado,Titanio,5,3,2,532,💎 Ancla de Negocio
1223,535,0,172646,Culiacan,2018-07-25,2025-09-03,1,12,11,"$173,623",$200,"$2,236",0.5085612903,"$310,000","$310,000",Autorizado,Platino,5,2,2,522,🎟️​ Crecer frecuencia
1227,539,0,86394,Eldorado,2018-07-24,2025-08-27,8,6,5,"$74,050",$189,$944,37.30%,"$260,000","$300,000",Autorizado,Plata,4,2,3,423,🎟️​ Crecer frecuencia
1229,541,0,186466,Culiacan,2018-07-20,2025-09-03,1,14,11,"$212,536",$188,"$2,103",0.54046875,"$320,000","$320,000",Autorizado,Platino,5,2,3,523,🎟️​ Crecer frecuencia
1230,542,0,310393.7,Culiacan,2018-08-25,2025-08-31,4,23,18,"$265,228",$128,"$2,304",82.98%,"$325,000","$400,000",Autorizado,Titanio,4,3,2,432,💎 Ancla de Negocio
1231,543,0,369916.27,Guasave,2018-07-30,2025-09-03,1,27,28,"$392,770",$156,"$4,483",95.68%,"$400,000","$400,000",Autorizado,Titanio,5,3,3,533,💎 Ancla de Negocio
1232,544,0,76175,Los Mochis,2018-07-26,2025-08-29,6,6,6,"$68,080",$93,$575,63.54%,"$103,474","$300,000",Autorizado,Plata,4,2,3,423,🎟️​ Crecer frecuencia
1234,546,0,221054,Navolato,2018-08-20,2025-09-03,1,19,15,"$183,608",$201,"$2,942",0.7832338983,"$295,000","$300,000",Autorizado,Platino,5,3,3,533,📈​ Crecer Monto
1236,548,0,38980,Culiacan,2018-07-30,2025-09-02,2,4,3,"$36,174",$116,$328,0.629382716,"$81,000","$400,000",Autorizado,Bronce,4,2,2,422,🎟️​ Crecer frecuencia
1237,549,0,296692,Los Mochis,2018-07-30,2025-09-03,1,27,23,"$294,602",$109,"$2,531",83.94%,"$300,000","$300,000",Autorizado,Titanio,5,3,2,532,💎 Ancla de Negocio
1238,550,0,271187,Culiacan,2018-07-30,2025-08-31,4,16,15,"$253,737",$143,"$2,140",70.59%,"$325,000","$400,000",Autorizado,Titanio,4,2,2,422,💎 Ancla de Negocio
1239,551,0,299895,Los Mochis,2018-07-31,2025-09-03,1,18,18,"$296,189",$195,"$3,445",92.06%,"$300,000","$300,000",Autorizado,Titanio,5,2,2,522,💎 Ancla de Negocio
1244,556,0,84368.88,Culiacan,2018-08-01,2025-09-01,3,7,5,"$79,981",$187,$872,58.37%,"$135,000","$300,000",Autorizado,Plata,4,2,3,423,🎟️​ Crecer frecuencia
1245,557,0,199078,Guamuchil,2018-07-31,2025-08-30,5,14,10,"$177,670",$307,"$3,119",0.6796999566,"$292,891","$300,000",Autorizado,Platino,4,2,3,423,🎟️​ Crecer frecuencia
1246,558,0,75701,Culiacan,2018-07-30,2025-09-03,1,3,6,"$80,673",$124,$786,52.87%,"$135,000","$300,000",Autorizado,Plata,5,1,3,513,🎟️​ Crecer frecuencia
1248,560,0,359970,Costa Rica,2018-08-20,2025-08-21,14,29,23,"$328,516",$169,"$3,853",85.15%,"$360,000","$400,000",Autorizado,Titanio,4,3,3,433,💎 Ancla de Negocio
1250,562,0,69027,Culiacan,2018-08-13,2025-08-18,17,1,4,"$87,292",$208,$762,34.35%,"$170,000","$300,000",Autorizado,Plata,3,1,2,312,🥶Enfriándose
1251,563,0,97036,Culiacan,2018-08-02,2025-08-24,11,7,5,"$76,518",$236,"$1,298",63.62%,"$135,000","$300,000",Autorizado,Plata,4,2,3,423,🎟️​ Crecer frecuencia
1253,565,0,357125,Costa Rica,2018-08-03,2025-08-31,4,22,20,"$332,556",$325,"$6,399",99.20%,"$360,000","$400,000",Autorizado,Titanio,4,3,3,433,💎 Ancla de Negocio
1254,566,0,193910,Navolato,2018-08-06,2025-08-24,11,13,10,"$159,378",$177,"$1,742",0.8674205128,"$195,000","$300,000",Autorizado,Platino,4,2,3,423,🎟️​ Crecer frecuencia
1257,569,0,85579,Los Mochis,2018-08-04,2025-09-03,1,4,4,"$61,263",$157,$708,62.00%,"$131,000","$300,000",Autorizado,Plata,5,1,3,513,🎟️​ Crecer frecuencia
1259,571,0,46332,Guasave,2018-08-13,2025-09-02,2,2,4,"$50,886",$58,$260,31.84%,"$126,000","$300,000",Autorizado,Plata,4,1,2,412,🎟️​ Crecer frecuencia
1260,572,0,180535,Culiacan,2018-08-09,2025-09-02,2,11,11,"$183,108",$213,"$2,240",0.6325018868,"$265,000","$300,000",Autorizado,Platino,4,2,2,422,🎟️​ Crecer frecuencia
1262,574,0,224848.76,Guamuchil,2018-08-09,2025-08-30,5,17,12,"$181,598",$183,"$2,227",0.7454807692,"$260,000","$300,000",Autorizado,Platino,4,3,3,433,📈​ Crecer Monto
1266,578,0,93017,Guasave,2018-08-11,2025-09-02,2,7,6,"$77,319",$112,$616,68.18%,"$140,000","$300,000",Autorizado,Plata,4,2,3,423,🎟️​ Crecer frecuencia
1267,579,0,265472,Guasave,2018-08-10,2025-09-03,1,22,20,"$265,618",$195,"$3,924",84.96%,"$300,000","$300,000",Autorizado,Titanio,5,3,2,532,💎 Ancla de Negocio
1269,581,0,94597,Culiacan,2018-08-20,2025-08-28,7,7,6,"$87,549",$91,$575,54.89%,"$145,000","$300,000",Autorizado,Plata,4,2,3,423,🎟️​ Crecer frecuencia
1273,585,0,143568,Guamuchil,2018-08-16,2025-09-02,2,13,6,"$86,121",$359,"$2,215",59.20%,"$245,000","$300,000",Autorizado,Plata,4,3,5,435,🎟️​ Crecer frecuencia
1274,586,0,58948,Culiacan,2018-08-17,2025-08-29,6,6,4,"$55,725",$175,$734,36.59%,"$145,000","$300,000",Autorizado,Plata,4,2,2,422,🎟️​ Crecer frecuencia
1276,588,0,274102.81,Los Mochis,2018-08-15,2025-09-03,1,26,24,"$287,034",$69,"$1,621",93.85%,"$300,000","$300,000",Autorizado,Titanio,5,3,2,532,💎 Ancla de Negocio
1277,589,0,41162,Culiacan,2018-08-31,2025-08-05,30,1,3,"$68,877",$235,$752,29.84%,"$110,000","$300,000",Autorizado,Plata,3,1,2,312,🥶Enfriándose
1279,591,0,147001,Eldorado,2018-08-18,2025-09-02,2,8,7,"$140,299",$290,"$2,033",0.7447,"$180,000","$300,000",Autorizado,Oro,4,2,4,424,🔥 Mantener Racha
1280,592,0,137636,Guamuchil,2018-08-22,2025-09-03,1,5,7,"$97,438",$293,"$1,906",66.51%,"$193,000","$300,000",Autorizado,Plata,5,2,5,525,🔥 Mantener Racha
1282,594,0,65482,Guasave,2018-08-17,2025-09-03,1,6,7,"$74,816",$67,$449,54.24%,"$130,000","$300,000",Autorizado,Plata,5,2,2,522,🎟️​ Crecer frecuencia
1283,595,0,265692,Culiacan,2018-08-17,2025-09-03,1,19,16,"$252,656",$193,"$3,123",87.29%,"$325,000","$400,000",Autorizado,Titanio,5,2,2,522,💎 Ancla de Negocio
1286,598,0,108871,Los Mochis,2018-08-29,2025-09-03,1,6,6,"$119,994",$150,$925,0.699116129,"$155,000","$300,000",Autorizado,Oro,5,1,3,513,🎟️​ Crecer frecuencia
1287,599,0,27013,Culiacan,2019-03-16,2025-09-02,2,0,2,"$27,561",$210,$463,0.5301636364,"$55,000","$300,000",Autorizado,Bronce,4,1,2,412,🎟️​ Crecer frecuencia
1288,600,0,28620,Navolato,2018-11-01,2025-07-27,39,0,2,"$35,954",$259,$570,0.2603052632,"$95,000","$300,000",Autorizado,Bronce,2,1,2,212,🚨Impedir Abandono
1289,601,0,146310.82,Eldorado,2018-08-27,2025-08-31,4,10,9,"$132,334",$218,"$1,894",0.6706105263,"$190,000","$300,000",Autorizado,Oro,4,2,4,424,🔥 Mantener Racha
1290,602,0,205696,Culiacan,2018-09-17,2025-09-01,3,26,16,"$199,402",$81,"$1,267",0.7780088889,"$225,000","$300,000",Autorizado,Platino,4,4,3,443,📈​ Crecer Monto
1292,604,0,306900.36,Culiacan,2018-08-28,2025-09-01,3,19,23,"$289,082",$96,"$2,167",86.04%,"$320,000","$400,000",Autorizado,Titanio,4,2,2,422,💎 Ancla de Negocio
1295,607,0,95487,Guasave,2018-09-01,2025-09-02,2,7,5,"$94,529",$356,"$1,603",71.12%,"$150,000","$300,000",Autorizado,Plata,4,2,3,423,🎟️​ Crecer frecuencia
1296,608,0,118528.15,Culiacan,2018-10-13,2025-08-27,8,8,9,"$130,172",$107,$977,0.5438972973,"$185,000","$300,000",Autorizado,Oro,4,2,3,423,🎟️​ Crecer frecuencia
1297,609,0,92658.91,Mazatlan,2018-09-12,2025-08-28,7,7,6,"$115,622",$255,"$1,616",0.4228810811,"$185,000","$300,000",Autorizado,Oro,4,1,3,413,🎟️​ Crecer frecuencia
1299,611,0,65490,Culiacan,2018-09-03,2025-08-27,8,5,5,"$62,651",$168,$774,37.51%,"$150,000","$300,000",Autorizado,Plata,4,2,2,422,🎟️​ Crecer frecuencia
1300,612,0,193954,Eldorado,2018-08-29,2025-09-02,2,17,13,"$180,854",$160,"$2,080",0.5803866667,"$300,000","$300,000",Autorizado,Platino,4,3,3,433,📈​ Crecer Monto
1301,613,0,77182.76,Mazatlan,2018-08-29,2025-08-18,17,1,6,"$129,350",$151,$956,0.2111333333,"$300,000","$300,000",Autorizado,Oro,3,1,2,312,🥶Enfriándose
1303,615,0,286057.59,Los Mochis,2018-08-30,2025-09-03,1,27,18,"$247,357",$164,"$2,977",0.8525533333,"$300,000","$300,000",Autorizado,Platino,5,4,5,545,💎 Ancla de Negocio
1304,616,0,121020.85,Culiacan,2018-09-05,2025-09-02,2,6,9,"$125,157",$128,"$1,087",0.5424410256,"$195,000","$300,000",Autorizado,Oro,4,1,3,413,🎟️​ Crecer frecuencia
1306,618,0,282675,Guasave,2018-08-31,2025-09-03,1,16,19,"$285,854",$156,"$3,033",81.37%,"$325,000","$400,000",Autorizado,Titanio,5,2,2,522,💎 Ancla de Negocio
1307,619,0,279060.66,Navolato,2018-09-20,2025-09-03,1,28,17,"$229,968",$207,"$3,560",0.7698666667,"$330,000","$400,000",Autorizado,Platino,5,4,5,545,💎 Ancla de Negocio
1308,620,0,246973.84,Mazatlan,2018-09-03,2025-08-26,9,9,15,"$258,382",$171,"$2,653",69.76%,"$300,000","$300,000",Autorizado,Titanio,4,1,2,412,🎟️​ Crecer frecuencia
1309,621,0,76632,Culiacan,2018-09-02,2025-09-01,3,2,5,"$79,819",$171,$798,63.56%,"$130,000","$300,000",Autorizado,Plata,4,1,3,413,🎟️​ Crecer frecuencia
1310,622,0,54470,Culiacan,2018-09-12,2025-09-01,3,4,4,"$103,437",$164,$630,0.187048,"$250,000","$300,000",Autorizado,Oro,4,1,2,412,🎟️​ Crecer frecuencia
1311,623,0,131433.56,Culiacan,2018-09-01,2025-07-15,51,0,9,"$205,566",$265,"$2,439",0.434016,"$250,000","$300,000",Autorizado,Platino,1,1,1,111,🫨 Reactivación
1317,629,0,119318,Guasave,2018-09-09,2025-08-23,12,10,6,"$128,166",$254,"$1,569",0.3426633333,"$300,000","$300,000",Autorizado,Oro,4,2,3,423,🎟️​ Crecer frecuencia
1318,630,0,106070,Mazatlan,2018-09-08,2025-09-01,3,4,5,"$92,689",$251,"$1,215",47.79%,"$192,324","$300,000",Autorizado,Plata,4,1,4,414,🎟️​ Crecer frecuencia
1319,631,0,101079.78,Navolato,2018-09-19,2025-08-28,7,2,5,"$113,646",$251,"$1,295",0.4967314286,"$175,000","$300,000",Autorizado,Oro,4,1,3,413,🎟️​ Crecer frecuencia
1320,632,0,173749.06,Navolato,2018-09-08,2025-09-03,1,18,14,"$169,489",$154,"$2,136",0.8846266857,"$175,000","$300,000",Autorizado,Platino,5,3,2,532,📈​ Crecer Monto
1321,633,0,44498,Mazatlan,2018-09-17,2025-09-03,1,4,3,"$49,605",$41,$143,0.61032,"$100,000","$300,000",Autorizado,Bronce,5,2,3,523,🎟️​ Crecer frecuencia
1322,634,0,264236,Eldorado,2018-09-15,2025-09-03,1,20,20,"$259,186",$159,"$3,224",78.49%,"$300,000","$300,000",Autorizado,Titanio,5,2,2,522,💎 Ancla de Negocio
1324,636,0,191932,Los Mochis,2018-09-14,2025-08-22,13,6,9,"$173,853",$252,"$2,353",0.7017717842,"$241,000","$300,000",Autorizado,Platino,4,1,3,413,🎟️​ Crecer frecuencia
1325,637,0,298790,Mazatlan,2018-09-12,2025-08-31,4,16,18,"$299,027",$263,"$4,696",86.82%,"$300,000","$300,000",Autorizado,Titanio,4,2,2,422,💎 Ancla de Negocio
1326,638,0,85148,Los Mochis,2018-09-13,2025-09-02,2,7,5,"$62,998",$90,$466,80.47%,"$101,000","$300,000",Autorizado,Plata,4,2,3,423,🎟️​ Crecer frecuencia
1327,639,0,205090,Culiacan,2018-09-14,2025-09-03,1,11,12,"$235,824",$187,"$2,312",0.6343933333,"$300,000","$300,000",Autorizado,Platino,5,2,3,523,🎟️​ Crecer frecuencia
1328,640,0,324443,Guamuchil,2018-09-14,2025-09-03,1,27,23,"$303,916",$187,"$4,240",88.87%,"$325,000","$400,000",Autorizado,Titanio,5,3,2,532,💎 Ancla de Negocio
1329,641,0,262905.76,Guamuchil,2018-09-16,2025-09-03,1,20,15,"$242,329",$195,"$2,964",0.7724766667,"$300,000","$300,000",Autorizado,Platino,5,3,4,534,💎 Ancla de Negocio
1334,646,0,198478,Guasave,2018-09-22,2025-08-26,9,15,11,"$186,427",$261,"$2,919",0.749773913,"$230,000","$300,000",Autorizado,Platino,4,3,3,433,📈​ Crecer Monto
1337,649,0,231301.97,Culiacan,2018-10-23,2025-09-02,2,20,14,"$218,244",$191,"$2,712",0.7381157895,"$285,000","$300,000",Autorizado,Platino,4,3,4,434,🎟️​ Crecer frecuencia
1342,654,0,320912,Guasave,2018-09-24,2025-09-02,2,27,22,"$292,140",$131,"$2,870",89.11%,"$330,000","$400,000",Autorizado,Titanio,4,3,2,432,💎 Ancla de Negocio
1343,655,0,128880,Guasave,2018-10-13,2025-08-25,10,2,6,"$162,552",$294,"$1,762",0.4873244444,"$225,000","$300,000",Autorizado,Platino,4,1,1,411,🎟️​ Crecer frecuencia
1344,656,0,189996,Eldorado,2018-10-01,2025-09-01,3,10,13,"$233,367",$186,"$2,329",0.54388,"$300,000","$300,000",Autorizado,Platino,4,2,3,423,🎟️​ Crecer frecuencia
1347,659,0,277663,Los Mochis,2018-09-25,2025-09-03,1,23,16,"$267,460",$239,"$3,706",83.23%,"$300,000","$300,000",Autorizado,Titanio,5,3,2,532,💎 Ancla de Negocio
1348,660,0,299722,Mazatlan,2018-10-03,2025-09-03,1,23,22,"$299,055",$152,"$3,290",90.05%,"$300,000","$300,000",Autorizado,Titanio,5,3,2,532,💎 Ancla de Negocio
1349,661,0,96239,Guasave,2018-10-01,2025-08-23,12,10,7,"$105,788",$113,$831,0.4998193548,"$155,000","$300,000",Autorizado,Oro,4,2,3,423,🎟️​ Crecer frecuencia
1350,662,0,248391,Mazatlan,2018-09-27,2025-08-27,8,18,15,"$228,259",$212,"$3,106",0.72649,"$300,000","$300,000",Autorizado,Platino,4,3,4,434,🎟️​ Crecer frecuencia
1351,663,0,115966,Culiacan,2018-09-29,2025-09-03,1,10,6,"$120,128",$355,"$2,130",0.7141238095,"$210,000","$300,000",Autorizado,Oro,5,2,3,523,🎟️​ Crecer frecuencia
1352,664,0,242868.57,Eldorado,2018-09-28,2025-09-02,2,16,12,"$203,708",$205,"$2,393",0.7715678571,"$280,000","$300,000",Autorizado,Platino,4,3,4,434,🎟️​ Crecer frecuencia
1354,666,0,126793,Cd Obregon,2018-09-28,2025-08-29,6,3,6,"$133,369",$261,"$1,651",0.5216809524,"$210,000","$300,000",Autorizado,Oro,4,1,3,413,🎟️​ Crecer frecuencia
1355,667,0,209789.58,Culiacan,2018-09-28,2025-09-03,1,12,11,"$229,644",$238,"$2,699",0.6344966667,"$300,000","$300,000",Autorizado,Platino,5,2,3,523,🎟️​ Crecer frecuencia
1358,670,0,292211.5,Navolato,2018-10-01,2025-09-03,1,22,19,"$289,064",$220,"$4,148",93.21%,"$300,000","$300,000",Autorizado,Titanio,5,3,2,532,💎 Ancla de Negocio
1359,671,0,257662.39,Navolato,2018-10-02,2025-09-02,2,15,12,"$259,803",$280,"$3,547",83.98%,"$300,000","$300,000",Autorizado,Titanio,4,2,2,422,💎 Ancla de Negocio
1362,674,0,171427,Guasave,2018-10-08,2025-09-03,1,11,11,"$162,954",$167,"$1,832",0.7490952381,"$210,000","$300,000",Autorizado,Platino,5,2,2,522,🎟️​ Crecer frecuencia
1365,677,0,102658,Navolato,2018-10-07,2025-08-30,5,8,6,"$78,754",$101,$620,78.92%,"$110,000","$300,000",Autorizado,Plata,4,2,3,423,🎟️​ Crecer frecuencia
1370,682,0,220290,Mazatlan,2018-10-17,2025-08-28,7,18,13,"$223,566",$191,"$2,455",0.6594175439,"$285,000","$300,000",Autorizado,Platino,4,3,3,433,📈​ Crecer Monto
1373,685,0,28652,Guamuchil,2018-10-15,2025-08-26,9,3,2,"$28,118",$74,$162,0.3811230769,"$65,000","$300,000",Autorizado,Bronce,4,1,2,412,🎟️​ Crecer frecuencia
1374,686,0,186972.41,Navolato,2018-11-29,2025-09-02,2,10,11,"$198,485",$179,"$2,055",0.712224,"$250,000","$300,000",Autorizado,Platino,4,2,3,423,🎟️​ Crecer frecuencia
1375,687,0,242872,Navolato,2018-10-20,2025-09-03,1,16,14,"$211,819",$224,"$3,136",0.7466833333,"$300,000","$300,000",Autorizado,Platino,5,3,4,534,🔥 Mantener Racha
1377,689,0,203373.89,Culiacan,2018-10-25,2025-09-03,1,22,16,"$170,499",$76,"$1,206",0.8699320791,"$215,103","$300,000",Autorizado,Platino,5,3,3,533,📈​ Crecer Monto
1378,690,0,286347.72,Guamuchil,2018-10-15,2025-08-29,6,19,19,"$291,983",$138,"$2,572",80.66%,"$300,000","$300,000",Autorizado,Titanio,4,2,2,422,💎 Ancla de Negocio
1379,691,0,190408,Culiacan,2018-10-22,2025-09-01,3,21,13,"$171,576",$218,"$2,764",0.9943550878,"$197,523","$300,000",Autorizado,Platino,4,3,3,433,🏆 Candidata a Incremento
1380,692,0,28950.39,Culiacan,2018-10-16,2025-08-03,32,1,3,"$41,674",$53,$150,0.2687125,"$80,000","$300,000",Autorizado,Bronce,2,1,2,212,🚨Impedir Abandono
1381,693,0,42584,Guamuchil,2018-10-22,2025-08-30,5,3,3,"$32,621",$207,$578,0.5824461538,"$65,000","$300,000",Autorizado,Bronce,4,1,3,413,🎟️​ Crecer frecuencia
1382,694,0,110350,Guasave,2018-10-18,2025-09-03,1,11,8,"$97,648",$120,$919,61.24%,"$190,000","$300,000",Autorizado,Plata,5,3,4,534,🔥 Mantener Racha
1383,695,0,185727,Culiacan,2018-10-30,2025-08-31,4,15,11,"$156,569",$242,"$2,578",0.836174359,"$195,000","$300,000",Autorizado,Platino,4,3,3,433,📈​ Crecer Monto
1384,696,0,150869.07,Culiacan,2018-10-18,2025-09-03,1,8,13,"$166,601",$139,"$1,732",0.6594272727,"$220,000","$300,000",Autorizado,Platino,5,2,2,522,🎟️​ Crecer frecuencia
1386,698,0,134418,Culiacan,2018-10-20,2025-08-25,10,11,6,"$119,140",$288,"$1,730",0.73959375,"$160,000","$300,000",Autorizado,Oro,4,2,3,423,🎟️​ Crecer frecuencia
1387,699,0,38764,Culiacan,2018-11-12,2025-08-31,4,3,3,"$33,953",$111,$315,0.4181,"$80,000","$300,000",Autorizado,Bronce,4,1,2,412,🎟️​ Crecer frecuencia
1391,703,0,297304,Guasave,2018-10-24,2025-09-03,1,23,17,"$262,080",$179,"$3,080",84.56%,"$325,000","$400,000",Autorizado,Titanio,5,3,2,532,💎 Ancla de Negocio
1394,706,0,152273,Cd Obregon,2018-10-24,2025-09-02,2,10,15,"$171,372",$177,"$2,562",0.5342433333,"$300,000","$300,000",Autorizado,Platino,4,2,2,422,🎟️​ Crecer frecuencia
